22:28:06 : Epoch: 1
22:28:33 : Epoch: 1
22:28:55 : Epoch: 1
22:29:16 : Epoch: 1
22:30:32 : Epoch: 1
22:30:53 : Epoch: 1
22:31:24 : Epoch: 1
22:31:51 : Epoch: 1
22:32:48 : Epoch: 1
22:33:09 : Epoch: 1
22:36:23 : Epoch: 1
22:37:12 : Epoch: 1
22:39:02 : Epoch: 1
22:42:59 : Epoch 0001 | Step 1070 / 2968 | Loss 1.3626 | Time 237.2478
22:43:01 : Epoch 0001 | Step 1075 / 2968 | Loss 1.3610 | Time 238.3471
22:43:02 : Epoch 0001 | Step 1080 / 2968 | Loss 1.3597 | Time 239.4574
22:43:03 : Epoch 0001 | Step 1085 / 2968 | Loss 1.3591 | Time 240.5567
22:43:04 : Epoch 0001 | Step 1090 / 2968 | Loss 1.3578 | Time 241.6529
22:43:05 : Epoch 0001 | Step 1095 / 2968 | Loss 1.3561 | Time 242.7529
22:43:06 : Epoch 0001 | Step 1100 / 2968 | Loss 1.3546 | Time 243.8508
22:43:07 : Epoch 0001 | Step 1105 / 2968 | Loss 1.3532 | Time 244.9588
22:43:08 : Epoch 0001 | Step 1110 / 2968 | Loss 1.3522 | Time 246.1144
22:43:09 : Epoch 0001 | Step 1115 / 2968 | Loss 1.3514 | Time 247.2317
22:43:11 : Epoch 0001 | Step 1120 / 2968 | Loss 1.3503 | Time 248.3269
22:43:12 : Epoch 0001 | Step 1125 / 2968 | Loss 1.3486 | Time 249.4372
22:43:13 : Epoch 0001 | Step 1130 / 2968 | Loss 1.3465 | Time 250.5394
22:43:14 : Epoch 0001 | Step 1135 / 2968 | Loss 1.3457 | Time 251.6427
22:43:15 : Epoch 0001 | Step 1140 / 2968 | Loss 1.3445 | Time 252.7420
22:43:16 : Epoch 0001 | Step 1145 / 2968 | Loss 1.3425 | Time 253.8672
22:43:17 : Epoch 0001 | Step 1150 / 2968 | Loss 1.3411 | Time 254.9868
22:43:18 : Epoch 0001 | Step 1155 / 2968 | Loss 1.3394 | Time 256.1000
22:43:19 : Epoch 0001 | Step 1160 / 2968 | Loss 1.3382 | Time 257.2054
22:43:21 : Epoch 0001 | Step 1165 / 2968 | Loss 1.3369 | Time 258.3067
22:43:22 : Epoch 0001 | Step 1170 / 2968 | Loss 1.3361 | Time 259.3979
22:43:23 : Epoch 0001 | Step 1175 / 2968 | Loss 1.3348 | Time 260.4932
22:43:24 : Epoch 0001 | Step 1180 / 2968 | Loss 1.3342 | Time 261.6035
22:43:25 : Epoch 0001 | Step 1185 / 2968 | Loss 1.3325 | Time 262.7528
22:43:26 : Epoch 0001 | Step 1190 / 2968 | Loss 1.3311 | Time 263.9045
22:43:27 : Epoch 0001 | Step 1195 / 2968 | Loss 1.3293 | Time 265.0158
22:43:28 : Epoch 0001 | Step 1200 / 2968 | Loss 1.3283 | Time 266.1176
22:43:29 : Epoch 0001 | Step 1205 / 2968 | Loss 1.3277 | Time 267.2268
22:43:31 : Epoch 0001 | Step 1210 / 2968 | Loss 1.3271 | Time 268.3621
22:43:32 : Epoch 0001 | Step 1215 / 2968 | Loss 1.3263 | Time 269.5092
22:43:33 : Epoch 0001 | Step 1220 / 2968 | Loss 1.3247 | Time 270.6565
22:43:34 : Epoch 0001 | Step 1225 / 2968 | Loss 1.3234 | Time 271.7874
22:43:35 : Epoch 0001 | Step 1230 / 2968 | Loss 1.3217 | Time 272.9326
22:43:36 : Epoch 0001 | Step 1235 / 2968 | Loss 1.3203 | Time 274.0500
22:43:37 : Epoch 0001 | Step 1240 / 2968 | Loss 1.3186 | Time 275.1652
22:43:38 : Epoch 0001 | Step 1245 / 2968 | Loss 1.3173 | Time 276.2706
22:43:40 : Epoch 0001 | Step 1250 / 2968 | Loss 1.3156 | Time 277.3688
22:43:41 : Epoch 0001 | Step 1255 / 2968 | Loss 1.3137 | Time 278.4841
22:43:42 : Epoch 0001 | Step 1260 / 2968 | Loss 1.3128 | Time 279.6357
22:43:43 : Epoch 0001 | Step 1265 / 2968 | Loss 1.3120 | Time 280.8641
22:43:44 : Epoch 0001 | Step 1270 / 2968 | Loss 1.3112 | Time 281.9753
22:43:45 : Epoch 0001 | Step 1275 / 2968 | Loss 1.3104 | Time 283.0956
22:43:46 : Epoch 0001 | Step 1280 / 2968 | Loss 1.3095 | Time 284.2096
22:43:48 : Epoch 0001 | Step 1285 / 2968 | Loss 1.3079 | Time 285.3469
22:43:49 : Epoch 0001 | Step 1290 / 2968 | Loss 1.3070 | Time 286.4569
22:43:50 : Epoch 0001 | Step 1295 / 2968 | Loss 1.3059 | Time 287.5802
22:43:51 : Epoch 0001 | Step 1300 / 2968 | Loss 1.3047 | Time 288.7024
22:43:52 : Epoch 0001 | Step 1305 / 2968 | Loss 1.3033 | Time 289.8217
22:43:53 : Epoch 0001 | Step 1310 / 2968 | Loss 1.3032 | Time 290.9359
22:43:54 : Epoch 0001 | Step 1315 / 2968 | Loss 1.3025 | Time 292.0702
22:43:55 : Epoch 0001 | Step 1320 / 2968 | Loss 1.3010 | Time 293.2584
22:43:57 : Epoch 0001 | Step 1325 / 2968 | Loss 1.2996 | Time 294.3987
22:43:58 : Epoch 0001 | Step 1330 / 2968 | Loss 1.2985 | Time 295.5030
22:43:59 : Epoch 0001 | Step 1335 / 2968 | Loss 1.2980 | Time 296.6372
22:44:00 : Epoch 0001 | Step 1340 / 2968 | Loss 1.2963 | Time 297.7504
22:44:01 : Epoch 0001 | Step 1345 / 2968 | Loss 1.2943 | Time 298.8557
22:44:02 : Epoch 0001 | Step 1350 / 2968 | Loss 1.2943 | Time 299.9682
22:44:03 : Epoch 0001 | Step 1355 / 2968 | Loss 1.2936 | Time 301.1068
22:44:04 : Epoch 0001 | Step 1360 / 2968 | Loss 1.2914 | Time 302.2510
22:44:06 : Epoch 0001 | Step 1365 / 2968 | Loss 1.2903 | Time 303.3709
22:44:07 : Epoch 0001 | Step 1370 / 2968 | Loss 1.2887 | Time 304.5002
22:44:08 : Epoch 0001 | Step 1375 / 2968 | Loss 1.2878 | Time 305.6674
22:44:09 : Epoch 0001 | Step 1380 / 2968 | Loss 1.2876 | Time 306.7637
22:44:10 : Epoch 0001 | Step 1385 / 2968 | Loss 1.2872 | Time 307.8619
22:44:11 : Epoch 0001 | Step 1390 / 2968 | Loss 1.2863 | Time 308.9602
22:44:12 : Epoch 0001 | Step 1395 / 2968 | Loss 1.2859 | Time 310.0684
22:44:13 : Epoch 0001 | Step 1400 / 2968 | Loss 1.2849 | Time 311.1727
22:44:15 : Epoch 0001 | Step 1405 / 2968 | Loss 1.2838 | Time 312.3009
22:44:16 : Epoch 0001 | Step 1410 / 2968 | Loss 1.2828 | Time 313.4087
22:44:17 : Epoch 0001 | Step 1415 / 2968 | Loss 1.2823 | Time 314.5555
