23:55:15 : Epoch: 1
01:16:00 : Epoch 0001 | Step 0885 / 2968 | Loss 1.4697 | Time 221.2249
01:16:02 : Epoch 0001 | Step 0890 / 2968 | Loss 1.4686 | Time 222.4651
01:16:03 : Epoch 0001 | Step 0895 / 2968 | Loss 1.4680 | Time 223.7164
01:16:04 : Epoch 0001 | Step 0900 / 2968 | Loss 1.4676 | Time 224.9547
01:16:05 : Epoch 0001 | Step 0905 / 2968 | Loss 1.4671 | Time 226.2040
01:16:07 : Epoch 0001 | Step 0910 / 2968 | Loss 1.4666 | Time 227.4543
01:16:08 : Epoch 0001 | Step 0915 / 2968 | Loss 1.4662 | Time 228.6905
01:16:09 : Epoch 0001 | Step 0920 / 2968 | Loss 1.4658 | Time 229.9378
01:16:10 : Epoch 0001 | Step 0925 / 2968 | Loss 1.4657 | Time 231.1751
01:16:12 : Epoch 0001 | Step 0930 / 2968 | Loss 1.4655 | Time 232.4304
01:16:13 : Epoch 0001 | Step 0935 / 2968 | Loss 1.4655 | Time 233.6797
01:16:14 : Epoch 0001 | Step 0940 / 2968 | Loss 1.4647 | Time 234.9189
01:16:15 : Epoch 0001 | Step 0945 / 2968 | Loss 1.4648 | Time 236.1652
01:16:17 : Epoch 0001 | Step 0950 / 2968 | Loss 1.4645 | Time 237.3985
01:16:18 : Epoch 0001 | Step 0955 / 2968 | Loss 1.4639 | Time 238.6538
01:16:19 : Epoch 0001 | Step 0960 / 2968 | Loss 1.4637 | Time 239.8951
01:16:20 : Epoch 0001 | Step 0965 / 2968 | Loss 1.4637 | Time 241.1400
01:16:22 : Epoch 0001 | Step 0970 / 2968 | Loss 1.4636 | Time 242.3903
01:16:23 : Epoch 0001 | Step 0975 / 2968 | Loss 1.4633 | Time 243.6696
01:16:24 : Epoch 0001 | Step 0980 / 2968 | Loss 1.4628 | Time 244.9149
01:16:25 : Epoch 0001 | Step 0985 / 2968 | Loss 1.4620 | Time 246.1542
01:16:27 : Epoch 0001 | Step 0990 / 2968 | Loss 1.4613 | Time 247.3924
01:16:28 : Epoch 0001 | Step 0995 / 2968 | Loss 1.4608 | Time 248.6477
01:16:29 : Epoch 0001 | Step 1000 / 2968 | Loss 1.4604 | Time 249.8930
01:16:30 : Epoch 0001 | Step 1005 / 2968 | Loss 1.4598 | Time 251.1353
01:16:32 : Epoch 0001 | Step 1010 / 2968 | Loss 1.4594 | Time 252.3746
01:16:33 : Epoch 0001 | Step 1015 / 2968 | Loss 1.4588 | Time 253.6238
01:16:34 : Epoch 0001 | Step 1020 / 2968 | Loss 1.4586 | Time 254.8761
01:16:35 : Epoch 0001 | Step 1025 / 2968 | Loss 1.4581 | Time 256.1244
01:16:37 : Epoch 0001 | Step 1030 / 2968 | Loss 1.4581 | Time 257.3687
01:16:38 : Epoch 0001 | Step 1035 / 2968 | Loss 1.4581 | Time 258.6150
01:16:39 : Epoch 0001 | Step 1040 / 2968 | Loss 1.4581 | Time 259.8702
01:16:40 : Epoch 0001 | Step 1045 / 2968 | Loss 1.4576 | Time 261.1195
01:16:42 : Epoch 0001 | Step 1050 / 2968 | Loss 1.4571 | Time 262.3708
01:16:43 : Epoch 0001 | Step 1055 / 2968 | Loss 1.4568 | Time 263.6151
01:16:44 : Epoch 0001 | Step 1060 / 2968 | Loss 1.4567 | Time 264.8644
01:16:45 : Epoch 0001 | Step 1065 / 2968 | Loss 1.4561 | Time 266.1267
01:16:47 : Epoch 0001 | Step 1070 / 2968 | Loss 1.4555 | Time 267.3729
01:16:48 : Epoch 0001 | Step 1075 / 2968 | Loss 1.4552 | Time 268.6112
01:16:49 : Epoch 0001 | Step 1080 / 2968 | Loss 1.4550 | Time 269.8585
01:16:50 : Epoch 0001 | Step 1085 / 2968 | Loss 1.4547 | Time 271.1038
01:16:52 : Epoch 0001 | Step 1090 / 2968 | Loss 1.4546 | Time 272.3531
01:16:53 : Epoch 0001 | Step 1095 / 2968 | Loss 1.4544 | Time 273.5873
01:16:54 : Epoch 0001 | Step 1100 / 2968 | Loss 1.4543 | Time 274.8306
01:16:55 : Epoch 0001 | Step 1105 / 2968 | Loss 1.4540 | Time 276.0869
01:16:57 : Epoch 0001 | Step 1110 / 2968 | Loss 1.4537 | Time 277.3342
01:16:58 : Epoch 0001 | Step 1115 / 2968 | Loss 1.4537 | Time 278.5725
01:16:59 : Epoch 0001 | Step 1120 / 2968 | Loss 1.4537 | Time 279.8207
01:17:00 : Epoch 0001 | Step 1125 / 2968 | Loss 1.4539 | Time 281.0850
01:17:02 : Epoch 0001 | Step 1130 / 2968 | Loss 1.4538 | Time 282.3253
01:17:03 : Epoch 0001 | Step 1135 / 2968 | Loss 1.4538 | Time 283.5646
01:17:04 : Epoch 0001 | Step 1140 / 2968 | Loss 1.4533 | Time 284.8039
01:17:05 : Epoch 0001 | Step 1145 / 2968 | Loss 1.4531 | Time 286.0541
01:17:06 : Epoch 0001 | Step 1150 / 2968 | Loss 1.4528 | Time 287.3090
01:17:08 : Epoch 0001 | Step 1155 / 2968 | Loss 1.4527 | Time 288.5622
01:17:09 : Epoch 0001 | Step 1160 / 2968 | Loss 1.4522 | Time 289.8025
01:17:10 : Epoch 0001 | Step 1165 / 2968 | Loss 1.4520 | Time 291.0538
01:17:11 : Epoch 0001 | Step 1170 / 2968 | Loss 1.4519 | Time 292.2921
01:17:13 : Epoch 0001 | Step 1175 / 2968 | Loss 1.4521 | Time 293.5314
01:17:14 : Epoch 0001 | Step 1180 / 2968 | Loss 1.4515 | Time 294.7886
01:17:15 : Epoch 0001 | Step 1185 / 2968 | Loss 1.4509 | Time 296.0269
01:17:16 : Epoch 0001 | Step 1190 / 2968 | Loss 1.4506 | Time 297.2652
01:17:18 : Epoch 0001 | Step 1195 / 2968 | Loss 1.4505 | Time 298.5105
01:17:19 : Epoch 0001 | Step 1200 / 2968 | Loss 1.4503 | Time 299.7568
01:17:20 : Epoch 0001 | Step 1205 / 2968 | Loss 1.4501 | Time 300.9990
01:17:21 : Epoch 0001 | Step 1210 / 2968 | Loss 1.4498 | Time 302.2583
01:17:23 : Epoch 0001 | Step 1215 / 2968 | Loss 1.4495 | Time 303.5116
01:17:24 : Epoch 0001 | Step 1220 / 2968 | Loss 1.4494 | Time 304.7534
01:17:25 : Epoch 0001 | Step 1225 / 2968 | Loss 1.4489 | Time 305.9956
01:17:26 : Epoch 0001 | Step 1230 / 2968 | Loss 1.4486 | Time 307.2409
01:17:28 : Epoch 0001 | Step 1235 / 2968 | Loss 1.4483 | Time 308.4802
01:17:29 : Epoch 0001 | Step 1240 / 2968 | Loss 1.4480 | Time 309.7435
01:17:30 : Epoch 0001 | Step 1245 / 2968 | Loss 1.4477 | Time 310.9938
01:17:31 : Epoch 0001 | Step 1250 / 2968 | Loss 1.4476 | Time 312.2441
01:17:33 : Epoch 0001 | Step 1255 / 2968 | Loss 1.4471 | Time 313.4943
01:17:34 : Epoch 0001 | Step 1260 / 2968 | Loss 1.4470 | Time 314.7376
01:17:35 : Epoch 0001 | Step 1265 / 2968 | Loss 1.4468 | Time 315.9729
01:17:36 : Epoch 0001 | Step 1270 / 2968 | Loss 1.4467 | Time 317.2382
01:17:38 : Epoch 0001 | Step 1275 / 2968 | Loss 1.4463 | Time 318.4845
01:17:39 : Epoch 0001 | Step 1280 / 2968 | Loss 1.4460 | Time 319.7337
01:17:40 : Epoch 0001 | Step 1285 / 2968 | Loss 1.4462 | Time 320.9760
01:17:41 : Epoch 0001 | Step 1290 / 2968 | Loss 1.4459 | Time 322.1993
01:17:43 : Epoch 0001 | Step 1295 / 2968 | Loss 1.4455 | Time 323.4411
01:17:44 : Epoch 0001 | Step 1300 / 2968 | Loss 1.4455 | Time 324.6784
01:17:45 : Epoch 0001 | Step 1305 / 2968 | Loss 1.4452 | Time 325.9226
01:17:46 : Epoch 0001 | Step 1310 / 2968 | Loss 1.4451 | Time 327.1709
01:17:48 : Epoch 0001 | Step 1315 / 2968 | Loss 1.4450 | Time 328.4192
01:17:49 : Epoch 0001 | Step 1320 / 2968 | Loss 1.4448 | Time 329.6605
01:17:50 : Epoch 0001 | Step 1325 / 2968 | Loss 1.4446 | Time 330.9018
01:17:51 : Epoch 0001 | Step 1330 / 2968 | Loss 1.4442 | Time 332.1460
01:17:53 : Epoch 0001 | Step 1335 / 2968 | Loss 1.4438 | Time 333.4043
01:17:54 : Epoch 0001 | Step 1340 / 2968 | Loss 1.4437 | Time 334.6516
01:17:55 : Epoch 0001 | Step 1345 / 2968 | Loss 1.4435 | Time 335.9029
01:17:56 : Epoch 0001 | Step 1350 / 2968 | Loss 1.4432 | Time 337.1397
01:17:58 : Epoch 0001 | Step 1355 / 2968 | Loss 1.4430 | Time 338.3845
01:17:59 : Epoch 0001 | Step 1360 / 2968 | Loss 1.4427 | Time 339.6188
01:18:00 : Epoch 0001 | Step 1365 / 2968 | Loss 1.4424 | Time 340.8600
01:18:01 : Epoch 0001 | Step 1370 / 2968 | Loss 1.4420 | Time 342.1023
01:18:03 : Epoch 0001 | Step 1375 / 2968 | Loss 1.4420 | Time 343.3466
01:18:04 : Epoch 0001 | Step 1380 / 2968 | Loss 1.4422 | Time 344.6039
01:18:05 : Epoch 0001 | Step 1385 / 2968 | Loss 1.4420 | Time 345.8416
01:18:06 : Epoch 0001 | Step 1390 / 2968 | Loss 1.4414 | Time 347.0829
01:18:08 : Epoch 0001 | Step 1395 / 2968 | Loss 1.4414 | Time 348.3898
01:18:09 : Epoch 0001 | Step 1400 / 2968 | Loss 1.4411 | Time 349.6712
01:18:10 : Epoch 0001 | Step 1405 / 2968 | Loss 1.4408 | Time 350.9375
01:18:11 : Epoch 0001 | Step 1410 / 2968 | Loss 1.4402 | Time 352.1948
01:18:13 : Epoch 0001 | Step 1415 / 2968 | Loss 1.4403 | Time 353.4360
01:18:14 : Epoch 0001 | Step 1420 / 2968 | Loss 1.4400 | Time 354.6853
01:18:15 : Epoch 0001 | Step 1425 / 2968 | Loss 1.4398 | Time 355.9376
01:18:16 : Epoch 0001 | Step 1430 / 2968 | Loss 1.4390 | Time 357.1909
01:18:18 : Epoch 0001 | Step 1435 / 2968 | Loss 1.4391 | Time 358.4462
01:18:19 : Epoch 0001 | Step 1440 / 2968 | Loss 1.4391 | Time 359.6820
01:18:20 : Epoch 0001 | Step 1445 / 2968 | Loss 1.4387 | Time 360.9273
01:18:21 : Epoch 0001 | Step 1450 / 2968 | Loss 1.4383 | Time 362.1681
01:18:23 : Epoch 0001 | Step 1455 / 2968 | Loss 1.4379 | Time 363.4124
01:18:24 : Epoch 0001 | Step 1460 / 2968 | Loss 1.4378 | Time 364.6477
01:18:25 : Epoch 0001 | Step 1465 / 2968 | Loss 1.4374 | Time 365.8899
01:18:26 : Epoch 0001 | Step 1470 / 2968 | Loss 1.4373 | Time 367.1362
01:18:28 : Epoch 0001 | Step 1475 / 2968 | Loss 1.4371 | Time 368.3795
01:18:29 : Epoch 0001 | Step 1480 / 2968 | Loss 1.4369 | Time 369.6213
01:18:30 : Epoch 0001 | Step 1485 / 2968 | Loss 1.4367 | Time 370.8726
01:18:31 : Epoch 0001 | Step 1490 / 2968 | Loss 1.4369 | Time 372.1174
01:18:33 : Epoch 0001 | Step 1495 / 2968 | Loss 1.4365 | Time 373.3657
